Birth City,Number of Players,Mean Player Salary,Median Player Salary,Player Salary Variance,Player Salary Std. Dev.,Player Salary Std. Error
Villa Rivas,1,"$380,000","$380,000",$nan,$nan,$nan
Walker,1,"$490,500","$490,500",$nan,$nan,$nan
Villa Tapia,1,"$396,033","$391,600","$244,263,333","$15,629","$9,023"
Vineland,1,"$2,531,000","$1,000,000","$9,522,553,000,000","$3,085,863","$1,781,624"
Palo Alto,1,"$510,000","$510,000",$nan,$nan,$nan
Paintsville,1,"$4,500,000","$4,500,000",$nan,$nan,$nan
Victorville,1,"$935,500","$595,000","$685,437,666,667","$827,912","$413,956"
Penjamillo,1,"$5,471,000","$4,625,000","$27,565,340,571,429","$5,250,271","$1,856,251"
San Benito,1,"$200,000","$200,000",$nan,$nan,$nan
Pembroke Pines,1,"$518,900","$518,900","$131,220,000","$11,455","$8,100"
Pella,1,"$200,000","$200,000",$nan,$nan,$nan
Pelham,1,"$260,000","$260,000",$nan,$nan,$nan
Tyler,1,"$742,700","$501,800","$200,593,220,000","$447,876","$200,296"
Uniontown,1,"$2,055,000","$2,750,000","$1,687,625,000,000","$1,299,086","$580,969"
Urama,1,"$626,667","$520,000","$37,433,333,333","$193,477","$111,704"
Paterson,1,"$1,445,200","$1,500,000","$1,069,615,200,000","$1,034,222","$462,518"
Passaic,1,"$2,417,708","$775,000","$5,893,644,839,015","$2,427,683","$700,812"
Paso Robles,1,"$394,190","$394,190",$nan,$nan,$nan
Uvalde,1,"$390,000","$390,000",$nan,$nan,$nan
Pascagoula,1,"$1,004,800","$504,900","$737,280,335,000","$858,650","$384,000"
Uwajima,1,"$3,075,000","$2,825,000","$1,754,166,666,667","$1,324,450","$662,225"
Valera,1,"$510,000","$510,000",$nan,$nan,$nan
Valle de la Pascua,1,"$484,000","$415,000","$37,517,500,000","$193,694","$86,623"
Vallejo,1,"$13,831,633","$13,142,857","$91,904,533,206,549","$9,586,685","$2,562,149"
Paramount,1,"$515,000","$515,000",$nan,$nan,$nan
Sao Paulo,1,"$775,000","$775,000","$101,250,000,000","$318,198","$225,000"
Vega Baja,1,"$898,182","$800,000","$595,216,563,636","$771,503","$232,617"
Venice,1,"$474,500","$411,500","$21,910,166,667","$148,021","$74,010"
Panama City,1,"$440,000","$425,000","$2,425,000,000","$49,244","$28,431"
Ventura,1,"$1,864,500","$1,365,000","$3,386,538,750,000","$1,840,255","$822,987"
